df,alpha,p_cum,tv_2t,tv_1t
1,0.0005,0.9995,1273.239283,636.6192488
1,0.001,0.999,636.6192488,318.308839
1,0.005,0.995,127.3213365,63.65674116
1,0.01,0.99,63.65674116,31.82051595
1,0.025,0.975,25.45169958,12.70620474
1,0.05,0.95,12.70620474,6.313751515
1,0.1,0.9,6.313751515,3.077683537
1,0.15,0.85,4.16529977,1.962610506
1,0.2,0.8,3.077683537,1.37638192
2,0.0005,0.9995,44.70458729,31.59905458
2,0.001,0.999,31.59905458,22.32712477
2,0.005,0.995,14.08904728,9.924843201
2,0.01,0.99,9.924843201,6.964556734
2,0.025,0.975,6.205346817,4.30265273
2,0.05,0.95,4.30265273,2.91998558
2,0.1,0.9,2.91998558,1.885618083
2,0.15,0.85,2.281930588,1.38620656
2,0.2,0.8,1.885618083,1.060660172
3,0.0005,0.9995,16.32633461,12.92397864
3,0.001,0.999,12.92397864,10.21453185
3,0.005,0.995,7.453318505,5.84090931
3,0.01,0.99,5.84090931,4.540702859
3,0.025,0.975,4.176534846,3.182446305
3,0.05,0.95,3.182446305,2.353363435
3,0.1,0.9,2.353363435,1.637744354
3,0.15,0.85,1.924319657,1.249778105
3,0.2,0.8,1.637744354,0.978472312
4,0.0005,0.9995,10.30625468,8.610301581
4,0.001,0.999,8.610301581,7.17318222
4,0.005,0.995,5.597568367,4.604094871
4,0.01,0.99,4.604094871,3.746947388
4,0.025,0.975,3.495405933,2.776445105
4,0.05,0.95,2.776445105,2.131846786
4,0.1,0.9,2.131846786,1.533206274
4,0.15,0.85,1.778192164,1.189566852
4,0.2,0.8,1.533206274,0.940964577
5,0.0005,0.9995,7.975653419,6.868826626
5,0.001,0.999,6.868826626,5.893429531
5,0.005,0.995,4.773340605,4.032142984
5,0.01,0.99,4.032142984,3.364929999
5,0.025,0.975,3.16338145,2.570581836
5,0.05,0.95,2.570581836,2.015048373
5,0.1,0.9,2.015048373,1.475884049
5,0.15,0.85,1.699362566,1.155767343
5,0.2,0.8,1.475884049,0.91954378
6,0.0005,0.9995,6.78833999,5.958816179
6,0.001,0.999,5.958816179,5.207626239
6,0.005,0.995,4.316827104,3.707428021
6,0.01,0.99,3.707428021,3.142668403
6,0.025,0.975,2.968686684,2.446911851
6,0.05,0.95,2.446911851,1.943180281
6,0.1,0.9,1.943180281,1.439755747
6,0.15,0.85,1.650173154,1.134156931
6,0.2,0.8,1.439755747,0.905703285
7,0.0005,0.9995,6.081756186,5.407882521
7,0.001,0.999,5.407882521,4.785289629
7,0.005,0.995,4.029337178,3.499483297
7,0.01,0.99,3.499483297,2.997951567
7,0.025,0.975,2.841244249,2.364624252
7,0.05,0.95,2.364624252,1.894578605
7,0.1,0.9,1.894578605,1.414923928
7,0.15,0.85,1.616591737,1.119159128
7,0.2,0.8,1.414923928,0.896029644
8,0.0005,0.9995,5.617410807,5.041305433
8,0.001,0.999,5.041305433,4.500790934
8,0.005,0.995,3.832518685,3.355387331
8,0.01,0.99,3.355387331,2.896459448
8,0.025,0.975,2.751523596,2.306004135
8,0.05,0.95,2.306004135,1.859548038
8,0.1,0.9,1.859548038,1.39681531
